Contig accession,Feature name,Feature,Begin,End,Strand,Length
PPYXA570.00003,PPYXA570_00222,CDS,96161,97975,-,1815
PPYXA570.00003,PPYXA570_00223,CDS,98015,99580,-,1566
PPYXA570.00003,PPYXA570_00224,CDS,99817,100452,-,636
PPYXA570.00003,PPYXA570_00225,CDS,100528,101049,-,522
PPYXA570.00003,PPYXA570_00226,CDS,101393,103486,+,2094
PPYXA570.00003,PPYXA570_00227,CDS,103573,103917,-,345
PPYXA570.00003,PPYXA570_00228,CDS,104030,106993,-,2964
PPYXA570.00003,PPYXA570_00229,CDS,106990,108645,-,1656
PPYXA570.00003,PPYXA570_00230,CDS,108855,109973,-,1119
PPYXA570.00003,PPYXA570_00231,CDS,109973,111127,-,1155
PPYXA570.00003,PPYXA570_00232,CDS,111132,112610,-,1479
PPYXA570.00003,PPYXA570_00233,CDS,112776,113441,-,666
PPYXA570.00003,PPYXA570_00234,CDS,113466,115748,-,2283
PPYXA570.00003,PPYXA570_00235,CDS,115903,116910,-,1008
PPYXA570.00003,PPYXA570_00236,CDS,117156,118820,+,1665
PPYXA570.00003,PPYXA570_00237,CDS,118817,119647,+,831
PPYXA570.00003,PPYXA570_00238,CDS,119671,120870,-,1200
PPYXA570.00003,PPYXA570_00239,CDS,121056,121553,-,498
PPYXA570.00003,PPYXA570_00240,CDS,121860,123353,+,1494
PPYXA570.00003,PPYXA570_00241,CDS,123456,123938,+,483
PPYXA570.00003,PPYXA570_00242,CDS,124042,124971,-,930
PPYXA570.00003,PPYXA570_00243,CDS,124977,126281,-,1305
PPYXA570.00003,PPYXA570_00244,CDS,126493,127746,+,1254
PPYXA570.00003,PPYXA570_00245,CDS,128006,129517,+,1512
PPYXA570.00003,PPYXA570_00246,CDS,129653,130015,+,363
PPYXA570.00003,PPYXA570_00247,CDS,130175,131794,+,1620
PPYXA570.00003,PPYXA570_00248,CDS,131868,132818,+,951
PPYXA570.00003,PPYXA570_00249,CDS,132823,133668,+,846
PPYXA570.00003,PPYXA570_00250,CDS,133665,134765,+,1101
PPYXA570.00003,PPYXA570_00251,CDS,134758,135723,+,966
PPYXA570.00003,PPYXA570_00252,CDS,135771,136223,+,453
PPYXA570.00003,PPYXA570_00253,CDS,137227,137745,-,519
PPYXA570.00003,PPYXA570_00254,CDS,138792,139154,+,363
PPYXA570.00003,PPYXA570_00255,CDS,139183,139581,-,399
PPYXA570.00003,PPYXA570_00256,CDS,139950,140165,-,216
PPYXA570.00003,PPYXA570_00257,CDS,140117,140449,-,333
PPYXA570.00003,PPYXA570_00258,CDS,141387,141644,+,258
PPYXA570.00003,PPYXA570_00259,CDS,141644,142135,+,492
PPYXA570.00003,PPYXA570_00260,CDS,142205,142669,-,465
PPYXA570.00003,PPYXA570_00261,CDS,143115,143330,-,216
PPYXA570.00003,PPYXA570_00262,CDS,143282,143614,-,333
PPYXA570.00003,PPYXA570_00263,CDS,143977,144534,+,558
PPYXA570.00003,PPYXA570_00264,CDS,144814,146100,+,1287
PPYXA570.00003,PPYXA570_00265,CDS,146139,147011,+,873
PPYXA570.00003,PPYXA570_00266,CDS,147001,147831,+,831
PPYXA570.00003,PPYXA570_00267,CDS,147842,148678,-,837
PPYXA570.00003,PPYXA570_00268,CDS,148816,150102,+,1287
PPYXA570.00003,PPYXA570_00269,CDS,150210,150737,-,528
PPYXA570.00003,PPYXA570_00270,CDS,150998,151831,-,834
PPYXA570.00003,PPYXA570_00271,CDS,152073,153089,+,1017
PPYXA570.00003,PPYXA570_00272,CDS,153167,153532,-,366
PPYXA570.00003,PPYXA570_00273,CDS,153673,154869,+,1197
PPYXA570.00003,PPYXA570_00274,CDS,154901,155743,+,843
PPYXA570.00003,PPYXA570_00275,CDS,155911,156933,+,1023
PPYXA570.00003,PPYXA570_00276,CDS,157114,158589,+,1476
PPYXA570.00003,PPYXA570_00277,CDS,158657,160075,+,1419
PPYXA570.00003,PPYXA570_00278,CDS,160247,161035,-,789
PPYXA570.00003,PPYXA570_00279,CDS,161214,162629,+,1416
PPYXA570.00003,PPYXA570_00280,CDS,162705,163103,-,399
PPYXA570.00003,PPYXA570_00281,CDS,163346,164467,-,1122
PPYXA570.00003,PPYXA570_00282,CDS,164485,164736,-,252
PPYXA570.00003,PPYXA570_00283,CDS,164770,165975,-,1206
PPYXA570.00003,PPYXA570_00284,CDS,166011,167606,-,1596
PPYXA570.00003,PPYXA570_00285,CDS,167762,168103,-,342
PPYXA570.00003,PPYXA570_00286,CDS,168534,170969,+,2436
PPYXA570.00003,PPYXA570_00287,CDS,171354,171554,+,201
PPYXA570.00003,PPYXA570_00288,CDS,171686,171901,+,216
PPYXA570.00003,PPYXA570_00289,CDS,171984,172808,-,825
PPYXA570.00003,PPYXA570_00290,CDS,172995,173327,+,333
PPYXA570.00003,PPYXA570_00291,CDS,173378,173923,-,546
PPYXA570.00003,PPYXA570_00292,CDS,174183,174755,-,573
PPYXA570.00003,PPYXA570_00293,CDS,174969,175382,+,414
PPYXA570.00003,PPYXA570_00294,CDS,175379,176092,+,714
PPYXA570.00003,PPYXA570_00295,CDS,176089,176856,+,768
PPYXA570.00003,PPYXA570_00296,CDS,176896,177381,+,486
PPYXA570.00003,PPYXA570_00297,CDS,177744,178961,+,1218
PPYXA570.00003,PPYXA570_00298,CDS,179052,179729,+,678
PPYXA570.00003,PPYXA570_00299,CDS,179824,180828,-,1005
PPYXA570.00003,PPYXA570_00300,CDS,180994,184434,-,3441
PPYXA570.00003,PPYXA570_00301,CDS,184448,186622,-,2175
PPYXA570.00003,PPYXA570_00302,CDS,187198,188448,+,1251
PPYXA570.00003,PPYXA570_00303,CDS,188485,189369,+,885
PPYXA570.00003,PPYXA570_00304,CDS,189388,190242,+,855
PPYXA570.00003,PPYXA570_00305,CDS,190624,191037,+,414
PPYXA570.00003,PPYXA570_00306,CDS,191426,192940,+,1515
PPYXA570.00003,PPYXA570_00307,CDS,193373,195268,+,1896
PPYXA570.00003,PPYXA570_00308,CDS,195292,196353,+,1062
PPYXA570.00003,PPYXA570_00309,CDS,196444,197190,+,747
PPYXA570.00003,PPYXA570_00310,CDS,197358,198185,-,828
PPYXA570.00003,PPYXA570_00311,CDS,198327,199208,-,882
PPYXA570.00003,PPYXA570_00312,CDS,199205,199627,-,423
PPYXA570.00003,PPYXA570_00313,CDS,199631,200722,-,1092
PPYXA570.00003,PPYXA570_00314,CDS,200740,203085,-,2346
PPYXA570.00003,PPYXA570_00315,CDS,203401,204060,+,660
PPYXA570.00003,PPYXA570_00316,CDS,204057,205553,+,1497
PPYXA570.00003,PPYXA570_00317,CDS,205638,209924,-,4287
PPYXA570.00003,PPYXA570_00318,CDS,210287,211222,+,936
PPYXA570.00003,PPYXA570_00319,CDS,211291,212214,-,924
PPYXA570.00003,PPYXA570_00320,CDS,212199,212750,-,552
PPYXA570.00003,PPYXA570_00321,CDS,212861,213823,-,963
PPYXA570.00003,PPYXA570_00322,CDS,214015,214290,+,276
PPYXA570.00003,PPYXA570_00323,CDS,214579,215145,+,567
PPYXA570.00003,PPYXA570_00324,CDS,215330,216604,+,1275
PPYXA570.00003,PPYXA570_00325,CDS,216669,217550,+,882
PPYXA570.00003,PPYXA570_00326,CDS,217550,218440,+,891
PPYXA570.00003,PPYXA570_00327,CDS,218491,220317,+,1827
PPYXA570.00003,PPYXA570_00328,CDS,220413,221954,+,1542
PPYXA570.00003,PPYXA570_00329,CDS,221951,222679,+,729
PPYXA570.00003,PPYXA570_00330,CDS,222657,223496,+,840
PPYXA570.00003,PPYXA570_00331,CDS,223616,224554,+,939
PPYXA570.00003,PPYXA570_00332,CDS,224580,226190,+,1611
PPYXA570.00003,PPYXA570_00333,rRNA,226580,226665,+,86
PPYXA570.00004,PPYXA570_00334,tRNA,1,75,+,75
PPYXA570.00004,PPYXA570_00335,tRNA,80,155,+,76
PPYXA570.00004,PPYXA570_00336,tRNA,171,258,+,88
PPYXA570.00004,PPYXA570_00337,tRNA,265,339,+,75
PPYXA570.00004,PPYXA570_00338,tRNA,350,420,+,71
PPYXA570.00004,PPYXA570_00339,tRNA,447,523,+,77
PPYXA570.00004,PPYXA570_00340,tRNA,546,619,+,74
PPYXA570.00004,PPYXA570_00341,tRNA,629,699,+,71
PPYXA570.00004,PPYXA570_00342,CDS,904,2007,-,1104
PPYXA570.00004,PPYXA570_00343,CDS,2000,2653,-,654
PPYXA570.00004,PPYXA570_00344,CDS,2797,3246,-,450
PPYXA570.00004,PPYXA570_00345,CDS,3545,4285,+,741
PPYXA570.00004,PPYXA570_00346,rRNA,4855,4949,+,95
PPYXA570.00005,PPYXA570_00347,rRNA,1,108,+,108
PPYXA570.00005,PPYXA570_00348,CDS,292,450,-,159
PPYXA570.00005,PPYXA570_00349,CDS,745,2076,+,1332
PPYXA570.00005,PPYXA570_00350,CDS,2308,3198,+,891
PPYXA570.00005,PPYXA570_00351,CDS,3204,4037,+,834
PPYXA570.00005,PPYXA570_00352,CDS,4068,5864,+,1797
PPYXA570.00005,PPYXA570_00353,CDS,5845,7029,+,1185
PPYXA570.00005,PPYXA570_00354,CDS,7102,8007,-,906
PPYXA570.00005,PPYXA570_00355,CDS,8169,8759,+,591
PPYXA570.00005,PPYXA570_00356,CDS,8785,10206,+,1422
PPYXA570.00005,PPYXA570_00357,CDS,10248,10472,+,225
PPYXA570.00005,PPYXA570_00358,CDS,10544,11005,+,462
PPYXA570.00005,PPYXA570_00359,CDS,11169,12329,+,1161
PPYXA570.00005,PPYXA570_00360,CDS,12502,14838,+,2337
PPYXA570.00005,PPYXA570_00361,CDS,14919,15818,-,900
PPYXA570.00005,PPYXA570_00362,CDS,15808,16497,-,690
PPYXA570.00005,PPYXA570_00363,CDS,17038,18642,+,1605
PPYXA570.00005,PPYXA570_00364,CDS,18956,20005,+,1050
PPYXA570.00005,PPYXA570_00365,CDS,19983,20909,+,927
PPYXA570.00005,PPYXA570_00366,CDS,20924,21892,+,969
PPYXA570.00005,PPYXA570_00367,CDS,21921,22829,+,909
PPYXA570.00005,PPYXA570_00368,CDS,22873,24693,+,1821
PPYXA570.00005,PPYXA570_00369,CDS,24736,25695,+,960
PPYXA570.00005,PPYXA570_00370,CDS,25723,26373,-,651
PPYXA570.00005,PPYXA570_00371,CDS,26388,27047,-,660
PPYXA570.00005,PPYXA570_00372,CDS,27119,27949,-,831
PPYXA570.00005,PPYXA570_00373,CDS,27992,28729,-,738
PPYXA570.00005,PPYXA570_00374,CDS,29058,29525,+,468
PPYXA570.00005,PPYXA570_00375,CDS,29615,30280,-,666
PPYXA570.00005,PPYXA570_00376,CDS,30392,33940,-,3549
PPYXA570.00005,PPYXA570_00377,CDS,34307,35188,-,882
PPYXA570.00005,PPYXA570_00378,CDS,35783,37039,+,1257
PPYXA570.00005,PPYXA570_00379,CDS,37073,37453,+,381
PPYXA570.00005,PPYXA570_00380,CDS,37553,38227,-,675
PPYXA570.00005,PPYXA570_00381,CDS,38412,38822,+,411
PPYXA570.00005,PPYXA570_00382,CDS,38892,40139,-,1248
PPYXA570.00005,PPYXA570_00383,CDS,40388,41137,-,750
PPYXA570.00005,PPYXA570_00384,CDS,41169,42887,-,1719
PPYXA570.00005,PPYXA570_00385,CDS,42972,43142,-,171
PPYXA570.00005,PPYXA570_00386,CDS,43142,44989,-,1848
PPYXA570.00005,PPYXA570_00387,CDS,45146,45241,-,96
PPYXA570.00005,PPYXA570_00388,CDS,45276,45869,-,594
PPYXA570.00005,PPYXA570_00389,CDS,46072,47301,+,1230
PPYXA570.00005,PPYXA570_00390,CDS,47415,47765,+,351
PPYXA570.00005,PPYXA570_00391,CDS,47821,48021,+,201
PPYXA570.00005,PPYXA570_00392,CDS,48139,50595,+,2457
PPYXA570.00005,PPYXA570_00393,CDS,50883,51626,+,744
PPYXA570.00005,PPYXA570_00394,CDS,51803,52648,-,846
PPYXA570.00005,PPYXA570_00395,CDS,52641,53597,-,957
PPYXA570.00005,PPYXA570_00396,CDS,53643,54419,-,777
PPYXA570.00005,PPYXA570_00397,CDS,54416,54709,-,294
PPYXA570.00005,PPYXA570_00398,CDS,55128,56171,-,1044
PPYXA570.00005,PPYXA570_00399,CDS,56746,57180,+,435
PPYXA570.00005,PPYXA570_00400,CDS,57399,59501,+,2103
PPYXA570.00005,PPYXA570_00401,CDS,59777,60838,+,1062
PPYXA570.00005,PPYXA570_00402,CDS,60988,62079,-,1092
PPYXA570.00005,PPYXA570_00403,CDS,62352,64052,+,1701
PPYXA570.00005,PPYXA570_00404,CDS,64124,64891,-,768
PPYXA570.00005,PPYXA570_00405,CDS,65053,65850,-,798
PPYXA570.00005,PPYXA570_00406,CDS,66119,67141,+,1023
