Contig accession,Feature name,Feature,Begin,End,Strand,Length
Contig_003,Feature_00179,CDS,38290,38769,+,480
Contig_003,Feature_00180,CDS,40025,43138,+,3114
Contig_003,Feature_00181,CDS,43140,43607,+,468
Contig_003,Feature_00182,CDS,43620,43862,+,243
Contig_003,Feature_00183,CDS,44440,45114,+,675
Contig_003,Feature_00184,CDS,45111,46526,+,1416
Contig_003,Feature_00185,CDS,46615,47853,+,1239
Contig_003,Feature_00186,CDS,47868,48389,+,522
Contig_003,Feature_00187,CDS,48390,48806,+,417
Contig_003,Feature_00188,CDS,49160,49387,+,228
Contig_003,Feature_00189,CDS,49457,49855,+,399
Contig_003,Feature_00190,CDS,49929,50879,+,951
Contig_003,Feature_00191,CDS,51091,52239,-,1149
Contig_003,Feature_00192,CDS,52556,53278,+,723
Contig_003,Feature_00193,CDS,53571,55955,+,2385
Contig_003,Feature_00194,CDS,56234,57076,+,843
Contig_003,Feature_00195,CDS,57255,57914,+,660
Contig_003,Feature_00196,CDS,57941,58975,+,1035
Contig_003,Feature_00197,CDS,58972,59766,+,795
Contig_003,Feature_00198,CDS,59788,60780,+,993
Contig_003,Feature_00199,CDS,60986,64726,+,3741
Contig_003,Feature_00200,CDS,64877,66274,-,1398
Contig_003,Feature_00201,CDS,66385,67263,-,879
Contig_003,Feature_00202,CDS,67457,69400,+,1944
Contig_003,Feature_00203,CDS,69428,70798,+,1371
Contig_003,Feature_00204,CDS,71095,72465,+,1371
Contig_003,Feature_00205,CDS,72551,73540,-,990
Contig_003,Feature_00206,CDS,73675,74541,+,867
Contig_003,Feature_00207,CDS,74549,75673,+,1125
Contig_003,Feature_00208,CDS,75895,78153,-,2259
Contig_003,Feature_00209,CDS,78284,79177,+,894
Contig_003,Feature_00210,CDS,79290,79745,+,456
Contig_003,Feature_00211,CDS,79745,80062,+,318
Contig_003,Feature_00212,CDS,80171,81283,+,1113
Contig_003,Feature_00213,CDS,81323,83998,+,2676
Contig_003,Feature_00214,CDS,84044,86011,+,1968
Contig_003,Feature_00215,CDS,86192,87130,+,939
Contig_003,Feature_00216,CDS,87376,87894,+,519
Contig_003,Feature_00217,CDS,87878,89494,+,1617
Contig_003,Feature_00218,CDS,89613,92657,-,3045
Contig_003,Feature_00219,CDS,92709,93533,-,825
Contig_003,Feature_00220,CDS,93530,94426,-,897
Contig_003,Feature_00221,CDS,94528,95817,-,1290
Contig_003,Feature_00222,CDS,96161,97975,-,1815
Contig_003,Feature_00223,CDS,98015,99580,-,1566
Contig_003,Feature_00224,CDS,99817,100452,-,636
Contig_003,Feature_00225,CDS,100528,101049,-,522
Contig_003,Feature_00226,CDS,101393,103486,+,2094
Contig_003,Feature_00227,CDS,103573,103917,-,345
Contig_003,Feature_00228,CDS,104030,106993,-,2964
Contig_003,Feature_00229,CDS,106990,108645,-,1656
Contig_003,Feature_00230,CDS,108855,109973,-,1119
Contig_003,Feature_00231,CDS,109973,111127,-,1155
Contig_003,Feature_00232,CDS,111132,112610,-,1479
Contig_003,Feature_00233,CDS,112776,113441,-,666
Contig_003,Feature_00234,CDS,113466,115748,-,2283
Contig_003,Feature_00235,CDS,115903,116910,-,1008
Contig_003,Feature_00236,CDS,117156,118820,+,1665
Contig_003,Feature_00237,CDS,118817,119647,+,831
Contig_003,Feature_00238,CDS,119671,120870,-,1200
Contig_003,Feature_00239,CDS,121056,121553,-,498
Contig_003,Feature_00240,CDS,121860,123353,+,1494
Contig_003,Feature_00241,CDS,123456,123938,+,483
Contig_003,Feature_00242,CDS,124042,124971,-,930
Contig_003,Feature_00243,CDS,124977,126281,-,1305
Contig_003,Feature_00244,CDS,126493,127746,+,1254
Contig_003,Feature_00245,CDS,128006,129517,+,1512
Contig_003,Feature_00246,CDS,129653,130015,+,363
Contig_003,Feature_00247,CDS,130175,131794,+,1620
Contig_003,Feature_00248,CDS,131868,132818,+,951
Contig_003,Feature_00249,CDS,132823,133668,+,846
Contig_003,Feature_00250,CDS,133665,134765,+,1101
Contig_003,Feature_00251,CDS,134758,135723,+,966
Contig_003,Feature_00252,CDS,135771,136223,+,453
Contig_003,Feature_00253,CDS,137227,137745,-,519
Contig_003,Feature_00254,CDS,138792,139154,+,363
Contig_003,Feature_00255,CDS,139183,139581,-,399
Contig_003,Feature_00256,CDS,139950,140165,-,216
Contig_003,Feature_00257,CDS,140117,140449,-,333
Contig_003,Feature_00258,CDS,141387,141644,+,258
Contig_003,Feature_00259,CDS,141644,142135,+,492
Contig_003,Feature_00260,CDS,142205,142669,-,465
Contig_003,Feature_00261,CDS,143115,143330,-,216
Contig_003,Feature_00262,CDS,143282,143614,-,333
Contig_003,Feature_00263,CDS,143977,144534,+,558
Contig_003,Feature_00264,CDS,144814,146100,+,1287
Contig_003,Feature_00265,CDS,146139,147011,+,873
Contig_003,Feature_00266,CDS,147001,147831,+,831
Contig_003,Feature_00267,CDS,147842,148678,-,837
Contig_003,Feature_00268,CDS,148816,150102,+,1287
Contig_003,Feature_00269,CDS,150210,150737,-,528
Contig_003,Feature_00270,CDS,150998,151831,-,834
Contig_003,Feature_00271,CDS,152073,153089,+,1017
Contig_003,Feature_00272,CDS,153167,153532,-,366
Contig_003,Feature_00273,CDS,153673,154869,+,1197
Contig_003,Feature_00274,CDS,154901,155743,+,843
Contig_003,Feature_00275,CDS,155911,156933,+,1023
Contig_003,Feature_00276,CDS,157114,158589,+,1476
Contig_003,Feature_00277,CDS,158657,160075,+,1419
Contig_003,Feature_00278,CDS,160247,161035,-,789
Contig_003,Feature_00279,CDS,161214,162629,+,1416
Contig_003,Feature_00280,CDS,162705,163103,-,399
Contig_003,Feature_00281,CDS,163346,164467,-,1122
Contig_003,Feature_00282,CDS,164485,164736,-,252
Contig_003,Feature_00283,CDS,164770,165975,-,1206
Contig_003,Feature_00284,CDS,166011,167606,-,1596
Contig_003,Feature_00285,CDS,167762,168103,-,342
Contig_003,Feature_00286,CDS,168534,170969,+,2436
Contig_003,Feature_00287,CDS,171354,171554,+,201
Contig_003,Feature_00288,CDS,171686,171901,+,216
Contig_003,Feature_00289,CDS,171984,172808,-,825
Contig_003,Feature_00290,CDS,172995,173327,+,333
Contig_003,Feature_00291,CDS,173378,173923,-,546
Contig_003,Feature_00292,CDS,174183,174755,-,573
Contig_003,Feature_00293,CDS,174969,175382,+,414
Contig_003,Feature_00294,CDS,175379,176092,+,714
Contig_003,Feature_00295,CDS,176089,176856,+,768
Contig_003,Feature_00296,CDS,176896,177381,+,486
Contig_003,Feature_00297,CDS,177744,178961,+,1218
Contig_003,Feature_00298,CDS,179052,179729,+,678
Contig_003,Feature_00299,CDS,179824,180828,-,1005
Contig_003,Feature_00300,CDS,180994,184434,-,3441
Contig_003,Feature_00301,CDS,184448,186622,-,2175
Contig_003,Feature_00302,CDS,187198,188448,+,1251
Contig_003,Feature_00303,CDS,188485,189369,+,885
Contig_003,Feature_00304,CDS,189388,190242,+,855
Contig_003,Feature_00305,CDS,190624,191037,+,414
Contig_003,Feature_00306,CDS,191426,192940,+,1515
Contig_003,Feature_00307,CDS,193373,195268,+,1896
Contig_003,Feature_00308,CDS,195292,196353,+,1062
Contig_003,Feature_00309,CDS,196444,197190,+,747
Contig_003,Feature_00310,CDS,197358,198185,-,828
Contig_003,Feature_00311,CDS,198327,199208,-,882
Contig_003,Feature_00312,CDS,199205,199627,-,423
Contig_003,Feature_00313,CDS,199631,200722,-,1092
Contig_003,Feature_00314,CDS,200740,203085,-,2346
Contig_003,Feature_00315,CDS,203401,204060,+,660
Contig_003,Feature_00316,CDS,204057,205553,+,1497
Contig_003,Feature_00317,CDS,205638,209924,-,4287
Contig_003,Feature_00318,CDS,210287,211222,+,936
Contig_003,Feature_00319,CDS,211291,212214,-,924
Contig_003,Feature_00320,CDS,212199,212750,-,552
Contig_003,Feature_00321,CDS,212861,213823,-,963
Contig_003,Feature_00322,CDS,214015,214290,+,276
Contig_003,Feature_00323,CDS,214579,215145,+,567
Contig_003,Feature_00324,CDS,215330,216604,+,1275
Contig_003,Feature_00325,CDS,216669,217550,+,882
Contig_003,Feature_00326,CDS,217550,218440,+,891
Contig_003,Feature_00327,CDS,218491,220317,+,1827
Contig_003,Feature_00328,CDS,220413,221954,+,1542
Contig_003,Feature_00329,CDS,221951,222679,+,729
Contig_003,Feature_00330,CDS,222657,223496,+,840
Contig_003,Feature_00331,CDS,223616,224554,+,939
Contig_003,Feature_00332,CDS,224580,226190,+,1611
Contig_003,Feature_00333,rRNA,226580,226665,+,86
Contig_004,Feature_00334,tRNA,1,75,+,75
Contig_004,Feature_00335,tRNA,80,155,+,76
Contig_004,Feature_00336,tRNA,171,258,+,88
Contig_004,Feature_00337,tRNA,265,339,+,75
Contig_004,Feature_00338,tRNA,350,420,+,71
Contig_004,Feature_00339,tRNA,447,523,+,77
Contig_004,Feature_00340,tRNA,546,619,+,74
Contig_004,Feature_00341,tRNA,629,699,+,71
Contig_004,Feature_00342,CDS,904,2007,-,1104
Contig_004,Feature_00343,CDS,2000,2653,-,654
Contig_004,Feature_00344,CDS,2797,3246,-,450
Contig_004,Feature_00345,CDS,3545,4285,+,741
Contig_004,Feature_00346,rRNA,4855,4949,+,95
Contig_005,Feature_00347,rRNA,1,108,+,108
Contig_005,Feature_00348,CDS,292,450,-,159
Contig_005,Feature_00349,CDS,745,2076,+,1332
Contig_005,Feature_00350,CDS,2308,3198,+,891
Contig_005,Feature_00351,CDS,3204,4037,+,834
Contig_005,Feature_00352,CDS,4068,5864,+,1797
Contig_005,Feature_00353,CDS,5845,7029,+,1185
Contig_005,Feature_00354,CDS,7102,8007,-,906
Contig_005,Feature_00355,CDS,8169,8759,+,591
Contig_005,Feature_00356,CDS,8785,10206,+,1422
Contig_005,Feature_00357,CDS,10248,10472,+,225
Contig_005,Feature_00358,CDS,10544,11005,+,462
Contig_005,Feature_00359,CDS,11169,12329,+,1161
Contig_005,Feature_00360,CDS,12502,14838,+,2337
Contig_005,Feature_00361,CDS,14919,15818,-,900
Contig_005,Feature_00362,CDS,15808,16497,-,690
Contig_005,Feature_00363,CDS,17038,18642,+,1605
Contig_005,Feature_00364,CDS,18956,20005,+,1050
Contig_005,Feature_00365,CDS,19983,20909,+,927
Contig_005,Feature_00366,CDS,20924,21892,+,969
Contig_005,Feature_00367,CDS,21921,22829,+,909
Contig_005,Feature_00368,CDS,22873,24693,+,1821
Contig_005,Feature_00369,CDS,24736,25695,+,960
Contig_005,Feature_00370,CDS,25723,26373,-,651
Contig_005,Feature_00371,CDS,26388,27047,-,660
Contig_005,Feature_00372,CDS,27119,27949,-,831
Contig_005,Feature_00373,CDS,27992,28729,-,738
Contig_005,Feature_00374,CDS,29058,29525,+,468
Contig_005,Feature_00375,CDS,29615,30280,-,666
Contig_005,Feature_00376,CDS,30392,33940,-,3549
Contig_005,Feature_00377,CDS,34307,35188,-,882
Contig_005,Feature_00378,CDS,35783,37039,+,1257
Contig_005,Feature_00379,CDS,37073,37453,+,381
Contig_005,Feature_00380,CDS,37553,38227,-,675
Contig_005,Feature_00381,CDS,38412,38822,+,411
Contig_005,Feature_00382,CDS,38892,40139,-,1248
Contig_005,Feature_00383,CDS,40388,41137,-,750
Contig_005,Feature_00384,CDS,41169,42887,-,1719
Contig_005,Feature_00385,CDS,42972,43142,-,171
Contig_005,Feature_00386,CDS,43142,44989,-,1848
Contig_005,Feature_00387,CDS,45146,45241,-,96
Contig_005,Feature_00388,CDS,45276,45869,-,594
Contig_005,Feature_00389,CDS,46072,47301,+,1230
Contig_005,Feature_00390,CDS,47415,47765,+,351
Contig_005,Feature_00391,CDS,47821,48021,+,201
Contig_005,Feature_00392,CDS,48139,50595,+,2457
Contig_005,Feature_00393,CDS,50883,51626,+,744
Contig_005,Feature_00394,CDS,51803,52648,-,846
Contig_005,Feature_00395,CDS,52641,53597,-,957
Contig_005,Feature_00396,CDS,53643,54419,-,777
Contig_005,Feature_00397,CDS,54416,54709,-,294
Contig_005,Feature_00398,CDS,55128,56171,-,1044
Contig_005,Feature_00399,CDS,56746,57180,+,435
Contig_005,Feature_00400,CDS,57399,59501,+,2103
Contig_005,Feature_00401,CDS,59777,60838,+,1062
Contig_005,Feature_00402,CDS,60988,62079,-,1092
Contig_005,Feature_00403,CDS,62352,64052,+,1701
Contig_005,Feature_00404,CDS,64124,64891,-,768
Contig_005,Feature_00405,CDS,65053,65850,-,798
Contig_005,Feature_00406,CDS,66119,67141,+,1023
Contig_005,Feature_00407,CDS,67138,67803,+,666
Contig_005,Feature_00408,CDS,68284,71793,+,3510
Contig_005,Feature_00409,CDS,71954,75094,+,3141
Contig_005,Feature_00410,CDS,75217,76404,+,1188
Contig_005,Feature_00411,CDS,76946,78715,-,1770
Contig_005,Feature_00412,CDS,78866,79540,+,675
Contig_005,Feature_00413,CDS,79540,80970,+,1431
Contig_005,Feature_00414,CDS,81030,81947,+,918
Contig_005,Feature_00415,CDS,81944,82660,+,717
Contig_005,Feature_00416,CDS,82660,83388,+,729
Contig_005,Feature_00417,CDS,83495,84451,-,957
Contig_005,Feature_00418,CDS,84990,85805,+,816
Contig_005,Feature_00419,CDS,85952,86773,+,822
Contig_005,Feature_00420,CDS,86887,87006,+,120
Contig_005,Feature_00421,CDS,87453,89000,-,1548
Contig_005,Feature_00422,CDS,89239,89934,-,696
Contig_005,Feature_00423,CDS,90128,90874,+,747
Contig_005,Feature_00424,rRNA,92267,92361,+,95
Contig_006,Feature_00425,tRNA,22,97,+,76
Contig_006,Feature_00426,tRNA,127,200,+,74
Contig_006,Feature_00427,tRNA,226,302,+,77
Contig_006,Feature_00428,tRNA,316,391,+,76
Contig_006,Feature_00429,tRNA,396,481,+,86
Contig_006,Feature_00430,tRNA,584,658,+,75
Contig_006,Feature_00431,tRNA,663,738,+,76
Contig_006,Feature_00432,tRNA,751,831,+,81
Contig_006,Feature_00433,tRNA,842,916,+,75
Contig_006,Feature_00434,tRNA,922,998,+,77
Contig_006,Feature_00435,tRNA,1011,1090,+,80
Contig_006,Feature_00436,tRNA,1098,1174,+,77
Contig_006,Feature_00437,tRNA,1183,1253,+,71
Contig_006,Feature_00438,CDS,1389,1943,-,555
Contig_006,Feature_00439,CDS,2057,3343,-,1287
Contig_006,Feature_00440,CDS,3556,6366,-,2811
Contig_006,Feature_00441,CDS,6477,7487,-,1011
Contig_006,Feature_00442,CDS,7535,8233,-,699
Contig_006,Feature_00443,CDS,8261,10069,-,1809
Contig_006,Feature_00444,CDS,10254,11399,-,1146
Contig_006,Feature_00445,CDS,11403,12863,-,1461
Contig_006,Feature_00446,CDS,12853,12993,-,141
Contig_006,Feature_00447,CDS,13202,13699,-,498
Contig_006,Feature_00448,CDS,13864,14340,-,477
Contig_006,Feature_00449,CDS,14571,15197,+,627
Contig_006,Feature_00450,CDS,15301,17943,-,2643
Contig_006,Feature_00451,CDS,18157,18918,+,762
Contig_006,Feature_00452,CDS,18965,19483,+,519
Contig_006,Feature_00453,CDS,19698,20900,+,1203
Contig_006,Feature_00454,CDS,21122,22174,+,1053
Contig_006,Feature_00455,CDS,22301,23257,-,957
Contig_006,Feature_00456,CDS,23532,24500,-,969
Contig_006,Feature_00457,CDS,24644,25117,+,474
Contig_006,Feature_00458,CDS,25204,25836,+,633
Contig_006,Feature_00459,CDS,25871,27517,+,1647
Contig_006,Feature_00460,CDS,27501,27995,-,495
Contig_006,Feature_00461,CDS,28166,29002,+,837
Contig_006,Feature_00462,CDS,29229,30983,-,1755
Contig_006,Feature_00463,CDS,31155,32186,-,1032
Contig_006,Feature_00464,CDS,32207,34540,-,2334
Contig_006,Feature_00465,CDS,35062,35409,+,348
Contig_006,Feature_00466,tRNA,35483,35554,+,72
Contig_006,Feature_00467,CDS,35648,36820,-,1173
Contig_006,Feature_00468,CDS,36958,37671,-,714
Contig_006,Feature_00469,CDS,37825,38154,+,330
Contig_006,Feature_00470,CDS,38426,38650,-,225
Contig_006,Feature_00471,CDS,38751,38915,+,165
Contig_006,Feature_00472,CDS,38835,39650,-,816
Contig_006,Feature_00473,CDS,39829,40107,+,279
Contig_006,Feature_00474,CDS,40108,40302,+,195
Contig_006,Feature_00475,CDS,40436,40951,+,516
Contig_006,Feature_00476,CDS,40961,41233,+,273
Contig_006,Feature_00477,CDS,41230,41481,+,252
Contig_006,Feature_00478,CDS,41711,41950,+,240
Contig_006,Feature_00479,CDS,42051,42998,+,948
Contig_006,Feature_00480,CDS,43009,43902,+,894
Contig_006,Feature_00481,CDS,43899,44102,+,204
Contig_006,Feature_00482,CDS,44172,45185,+,1014
Contig_006,Feature_00483,CDS,45151,46437,+,1287
Contig_006,Feature_00484,CDS,46451,46645,+,195
Contig_006,Feature_00485,CDS,46645,46854,+,210
Contig_006,Feature_00486,CDS,46994,47527,+,534
Contig_006,Feature_00487,CDS,47530,48507,+,978
Contig_006,Feature_00488,CDS,49036,49275,+,240
Contig_006,Feature_00489,CDS,49403,49888,+,486
Contig_006,Feature_00490,CDS,49969,50955,-,987
Contig_006,Feature_00491,CDS,51268,52413,-,1146
Contig_006,Feature_00492,CDS,52443,52631,+,189
Contig_006,Feature_00493,CDS,52898,53635,+,738
Contig_006,Feature_00494,CDS,54227,54688,+,462
Contig_006,Feature_00495,CDS,54681,55646,+,966
Contig_006,Feature_00496,CDS,55672,56343,+,672
Contig_006,Feature_00497,CDS,56382,56552,+,171
Contig_006,Feature_00498,CDS,56653,56892,+,240
Contig_006,Feature_00499,CDS,56935,57819,+,885
Contig_006,Feature_00500,CDS,57813,59501,+,1689
Contig_006,Feature_00501,CDS,59502,60998,+,1497
Contig_006,Feature_00502,CDS,60991,61821,+,831
Contig_006,Feature_00503,CDS,61848,63107,+,1260
Contig_006,Feature_00504,CDS,63134,64069,+,936
Contig_006,Feature_00505,CDS,64069,64431,+,363
Contig_006,Feature_00506,CDS,64400,64786,+,387
Contig_006,Feature_00507,CDS,64783,65109,+,327
Contig_006,Feature_00508,CDS,65096,65590,+,495
Contig_006,Feature_00509,CDS,65590,66084,+,495
Contig_006,Feature_00510,CDS,66081,66299,+,219
Contig_006,Feature_00511,CDS,66315,67667,+,1353
